Repositoy name
owncloud/android
nextcloud/android
duckduckgo/Android
owntracks/android
pockethub/PocketHub
amahi/android
johnkil/Android-AppMsg
HoraApps/LeafPic
wordpress-mobile/WordPress-Android
fossasia/pslab-android
h6ah4i/android-advancedrecyclerview
hiteshsahu/ECommerce-App-Android
gaugesapp/gauges-android
gotify/android
PhilippC/keepass2android
bookdash/bookdash-android-app
HabitRPG/habitica-android
zulip/zulip-android
BijoySingh/Scarlet-Notes
javiersantos/MLManager
rozdoum/social-app-android
edx/edx-app-android
fossasia/open-event-attendee-android
OpenLauncherTeam/openlauncher
ccrama/Slide
singhpk89/AppLocker
Toolwiz/ToolWizAppLock
dmfs/opentasks
nextcloud/news-android
ResurrectionRemix/Resurrection_packages_apps_Settings
nguyenvulebinh/android-firebase-chat
martykan/forecastie
WebBluetoothCG/ble-test-peripheral-android
ThirtyDegreesRay/OpenHub
intrications/intent-intercept
imgly/pesdk-android-demo
nolanlawson/Catlog
mattermost/mattermost-android-classic
KDE/kdeconnect-android
play/play-android
Alfresco/alfresco-android-app
citiususc/calendula
Arjun-sna/Android-AudioRecorder-App
MalaysiaPrayerTimes/android
inmite/android-grid-wichterle
peterosterlund2/droidfish
abhinavabcd/QuizApp_Android
BlinkID/blinkid-android
googlecreativelab/justaline-android
mtotschnig/MyExpenses
Arjun-sna/android-permission-checker-app
iSoron/uhabits
MajeurAndroid/Android-Applications-Info
artem-zinnatullin/android-wail-app
stefan-niedermann/nextcloud-notes
wolpi/prim-ftpd
criticalmaps/criticalmaps-android
niccokunzmann/mundraub-android
niccokunzmann/mundraub-android
ikarus23/MifareClassicTool
cbeyls/fosdem-companion-android
caarmen/FRCAndroidWidget
shlusiak/Freebloks-Android
WIStudent/FreifunkAutoConnectApp
Freeyourgadget/Gadgetbridge
ge0rg/gamemasterdice
mridang/gasflow
urandom/gearshift
andDevW/getChromium
rfc2822/GfxTablet
brarcher/gift-card-guard
nextgis/android_gisapp
ligi/gobandroid
greenaddress/GreenBits
atd/HandyNotes
seizonsenryaku/HayaiLauncher
manmal/hn-android
queler/holokenmod
jpriebe/hotdeath
derekcsm/hubble_gallery
danielegobbetti/ICSImport
nbenm/ImapNote2
intrications/intent-intercept
smblott-github/intent_radio
irssiconnectbot/irssiconnectbot
telecapoland/jamendo-android
jannispinter/jaws
JTechMe/JumpGo
k9mail/k-9
Neamar/KISS
konradrenner/kolabnotes-android
kontalk/androidclient
coding-blocks/DigitalOceanApp
florent37/Android-YoutubeMp3
rayyan/android-nfc-paycardreader
robhinds/AndroidChuckQuiz
Integreight/1Sheeld-Android-App
Integreight/1Sheeld-Android-App
QuickLyric/QuickLyric
tananaev/passport-reader
johnkil/SideNavigation
NearbyShops/Nearby-Shops-Android-app
snowdream/android-imageviewer
CUTR-at-USF/OpenTripPlanner-for-Android
julesbond007/android-jigsaw-puzzle
Wrdlbrnft/Searchable-RecyclerView-Demo
patzly/grocy-android
Michenux/YourAppIdea
TakWolf/CNode-Material-Design
qqq3/good-weather
testica/text-scanner
naman14/Hacktoberfest-Android
schollz/find3-android-scanner
romanz/audiomodem-android
0xbb/otp-authenticator
emonm/social-app-android
trezor/trezor-android
Wrdlbrnft/Searchable-RecyclerView-Demo
EvilInsultGenerator/android-app-java
patzly/grocy-android
Chooloo/call_manage
ManuelPeinado/FadingActionBar
termux/termux-boot
ladybirdweb/faveo-helpdesk-android-app
navasmdc/BorderMenu
nutritionfactsorg/daily-dozen-android
Shashank02051997/FancyWalkthrough-Android
chaosbastler/opentraining
hemant3370/NEWS
lynfogeek/conference-app
markusfisch/ShaderEditor
elixsr/FwdPortForwardingApp
antoniy/Gidder
OnlyInAmerica/GlanceReader
georgevarghese185/GlidePlayer
lubomyr/GlobalTv-Android
techlung/GlowAndroid
georgelam-uwaterloo/GoodHikes
tobykurien/GoogleApps
andreybl/GuitarTrainer
nethergrim/GymDiary
AlexGilleran/HIITMe
orome656/HOFCAndroid
bishopmatthew/HackerNews
ThatKawaiiGuy/Handbook_for_Melee
Iljalala/HansaVK
feathertw/HappyWifi
datakun/HarrisCam
Mortech/HexGame_Android2
JohnNPhillips/HistoryCleanerPro
M8yMax/IRRemote
khuongthai/Iknow
philwade/Interflix
BennetBartmann/Jinawa
dcjosej/JustSketch
Neamar/KISS
nolanlawson/KeepScore
johanjusits/LastStraw
F43nd1r/LightningPermissionManager
marcosdiez/LimiteCartao
dperetin/LinuxZaSve_mobile
JerabekJakub/LocusAddonGeogetDatabase
Venryx/LucidLink
javiersantos/MLManager
Adonai/Man-Man
